id,target
0,1
2,0
3,1
9,0
11,0
12,0
21,1
22,0
27,0
29,0
30,1
35,1
42,1
43,0
45,0
46,1
47,0
51,0
58,1
60,0
69,1
70,1
72,1
75,0
84,0
87,0
88,0
90,1
94,0
99,1
101,1
103,1
106,1
108,1
111,1
115,1
116,0
122,0
123,1
124,0
125,1
127,1
140,1
142,1
147,1
148,0
150,0
152,0
154,1
155,0
166,1
167,1
169,1
179,0
181,0
186,1
188,0
189,1
192,0
200,1
202,1
206,1
207,0
214,1
217,1
223,1
224,1
227,0
228,1
230,1
233,1
234,1
236,1
239,1
250,1
255,0
257,0
259,1
275,1
278,0
282,0
284,0
286,0
288,1
292,0
295,0
300,0
304,1
305,1
306,0
308,0
311,0
317,0
319,0
323,0
324,0
325,0
326,0
333,0
339,0
342,0
343,0
350,1
351,1
357,1
359,1
362,1
366,1
367,1
369,1
373,0
374,1
376,1
377,1
378,1
379,0
382,1
385,1
387,1
388,1
391,1
392,1
395,1
399,0
400,0
403,0
405,1
408,0
411,0
414,0
416,1
417,1
422,0
425,1
428,0
430,0
431,0
433,0
434,0
439,0
441,0
449,0
458,0
460,0
464,0
473,0
488,0
491,1
494,0
497,0
500,1
505,0
507,1
508,1
510,1
511,1
515,1
525,1
529,0
532,0
534,0
537,1
539,1
541,0
545,1
547,0
548,1
549,0
553,0
554,0
555,0
557,0
562,1
566,0
572,0
573,0
582,0
586,0
587,0
590,1
591,0
593,0
595,0
596,0
597,0
601,1
602,1
605,1
610,1
616,0
618,0
620,0
626,0
627,1
629,1
632,0
634,1
639,1
645,1
647,0
648,1
650,1
663,1
666,1
668,0
670,1
673,1
676,1
678,1
692,1
693,0
694,1
695,1
696,1
698,0
701,1
703,0
707,0
708,1
711,0
715,0
718,0
722,0
723,0
733,0
741,0
742,0
743,1
747,0
749,1
750,1
756,1
757,0
760,1
764,0
765,0
766,0
768,0
769,1
771,0
772,0
776,0
778,0
780,1
785,0
789,0
792,1
793,0
811,0
813,0
816,0
821,0
824,0
825,0
827,0
830,1
831,1
839,1
844,1
847,1
850,1
854,1
855,1
858,1
861,1
862,1
865,1
869,1
879,0
880,1
887,0
889,1
897,0
900,0
901,1
904,0
908,0
909,0
910,1
913,0
914,1
917,0
918,1
920,0
922,0
925,1
927,0
933,1
937,1
943,0
949,0
950,1
954,1
966,0
967,1
969,0
970,1
973,1
975,1
980,0
988,1
989,1
995,0
1000,0
1003,0
1007,0
1011,1
1012,0
1013,0
1014,0
1016,1
1019,1
1025,1
1027,1
1028,1
1030,1
1033,0
1034,1
1039,1
1046,0
1047,0
1053,0
1055,0
1056,1
1059,1
1060,0
1063,0
1064,0
1068,0
1076,1
1086,1
1087,0
1089,1
1092,0
1095,0
1096,0
1097,1
1100,0
1101,1
1107,0
1108,1
1111,1
1115,1
1116,0
1121,0
1125,1
1127,0
1131,0
1133,1
1135,0
1137,1
1140,0
1144,1
1147,0
1148,0
1150,1
1158,1
1159,1
1161,0
1163,1
1165,1
1169,0
1171,1
1172,1
1176,1
1180,0
1184,0
1186,0
1187,1
1192,1
1193,1
1194,0
1197,1
1200,0
1205,0
1210,1
1216,1
1220,1
1231,0
1233,0
1246,0
1247,1
1248,0
1255,0
1256,0
1257,0
1258,0
1260,1
1261,0
1265,1
1266,1
1268,1
1274,0
1281,1
1285,0
1286,1
1291,1
1292,0
1295,1
1299,0
1306,0
1310,0
1311,0
1313,0
1314,0
1322,1
1323,1
1325,1
1329,1
1330,1
1333,0
1336,1
1339,1
1342,1
1344,0
1355,1
1357,0
1358,1
1359,1
1364,1
1366,0
1367,0
1370,1
1373,1
1377,1
1386,1
1387,0
1392,1
1397,1
1398,1
1400,1
1403,1
1404,1
1410,1
1413,1
1416,1
1417,1
1423,1
1424,1
1426,0
1427,0
1428,1
1430,1
1434,1
1435,1
1437,1
1438,1
1442,1
1446,1
1451,1
1457,1
1461,1
1462,0
1465,0
1468,1
1469,1
1471,1
1476,1
1478,0
1481,1
1489,1
1490,1
1492,1
1496,1
1512,1
1516,1
1517,1
1528,1
1529,1
1536,1
1539,1
1541,1
1542,1
1548,1
1550,1
1551,1
1552,0
1557,1
1563,1
1564,0
1565,1
1566,1
1571,1
1578,1
1581,0
1583,0
1584,0
1586,1
1589,1
1592,1
1598,0
1606,1
1612,0
1616,0
1620,1
1624,0
1629,1
1630,0
1635,1
1640,1
1641,1
1642,1
1651,1
1655,1
1656,1
1659,1
1664,1
1667,1
1668,1
1674,1
1678,0
1680,1
1681,0
1682,1
1685,0
1695,1
1696,0
1697,0
1704,1
1708,0
1711,1
1713,1
1714,0
1717,1
1729,1
1730,1
1732,1
1734,1
1736,1
1738,1
1742,0
1743,0
1746,1
1748,1
1749,1
1751,1
1758,0
1764,1
1765,1
1777,1
1778,1
1781,1
1782,1
1783,1
1785,1
1788,1
1793,1
1794,1
1795,1
1797,1
1800,1
1801,1
1805,1
1806,1
1819,1
1820,1
1825,1
1828,0
1829,0
1830,1
1839,0
1843,0
1844,1
1846,1
1849,1
1850,1
1854,0
1855,1
1858,0
1859,0
1862,0
1867,1
1868,0
1871,1
1872,1
1874,1
1876,0
1879,1
1884,0
1891,1
1894,1
1896,0
1902,0
1903,1
1904,0
1906,0
1907,0
1912,0
1913,1
1923,0
1926,1
1928,0
1930,1
1931,1
1934,1
1936,1
1944,1
1946,1
1958,1
1964,0
1970,1
1974,1
1977,1
1978,1
1982,1
1984,1
1988,1
1993,1
1997,1
2002,1
2004,1
2005,1
2008,1
2011,0
2013,0
2018,0
2021,0
2025,0
2029,1
2030,0
2032,0
2037,1
2041,0
2044,0
2048,0
2052,1
2053,1
2054,0
2062,0
2065,0
2066,0
2072,1
2079,0
2080,1
2085,0
2088,1
2090,0
2092,0
2093,0
2101,1
2104,0
2105,1
2106,0
2107,0
2120,1
2124,0
2127,1
2130,0
2132,0
2135,0
2137,0
2140,1
2143,0
2147,0
2151,1
2152,1
2155,0
2156,0
2162,0
2165,0
2166,0
2167,0
2168,0
2170,0
2178,1
2180,0
2182,0
2184,1
2185,0
2187,1
2196,0
2197,0
2199,1
2200,0
2201,1
2202,0
2206,0
2208,0
2218,0
2223,0
2224,0
2226,0
2228,0
2232,0
2234,1
2243,1
2247,0
2249,0
2252,1
2253,0
2259,0
2261,0
2264,1
2268,0
2269,0
2270,0
2276,0
2283,1
2287,1
2290,0
2291,0
2293,1
2295,1
2302,0
2305,1
